curly,dot-location,eqeqeq,vars-on-top,no-unused-vars,no-use-before-define,id-length,semi,max-len,max-statements,no-bitwise,LOC,NCLOC,codePerLine,emptyLine,mixLOC,paremeter,mostDepth,Url
0,0,0,0,0,0,0,0,0,0,0,5,0,34,0,0,0,1,http://rosettacode.org//wiki/Check_that_file_exists
0,0,0,2,0,0,1,1,2,0,0,23,7,34.82608695652174,1,6,2,1,http://rosettacode.org//wiki/Classes
0,0,0,4,1,0,4,0,0,0,0,26,0,27.615384615384617,1,0,1.5,1,http://rosettacode.org//wiki/Closest-pair_problem
5,0,0,20,0,0,30,4,5,2,0,120,6,32.18333333333333,0,2,0,1,http://rosettacode.org//wiki/Closest-pair_problem
0,0,0,0,0,0,0,0,0,0,0,5,0,19,0,0,0,1,http://rosettacode.org//wiki/Collections
0,0,0,0,0,0,0,0,0,0,0,5,3,40.6,0,3,0,1,http://rosettacode.org//wiki/Collections
5,0,1,3,0,0,9,2,0,0,4,20,0,18.15,2,0,1.3333333333333333,1,http://rosettacode.org//wiki/Combinations
0,0,0,0,0,0,2,0,2,0,0,24,2,33.875,0,0,2,1,http://rosettacode.org//wiki/Combinations
2,1,0,1,0,0,8,0,0,0,0,23,1,24.304347826086957,0,0,0,1,http://rosettacode.org//wiki/Combinations
3,1,0,2,1,0,10,1,0,0,0,38,3,25.736842105263158,0,0,0,1,http://rosettacode.org//wiki/Combinations
1,0,1,1,0,0,4,0,1,0,0,20,0,28,1,0,3,1,http://rosettacode.org//wiki/Combinations_with_repetitions
1,0,0,0,1,0,7,1,0,0,0,37,6,29.54054054054054,0,0,0,1,http://rosettacode.org//wiki/Combinations_with_repetitions
0,0,0,0,0,0,0,1,0,0,0,11,0,15.363636363636363,0,0,0,1,http://rosettacode.org//wiki/Combinations_with_repetitions
0,0,0,0,0,0,1,0,0,0,0,17,0,19,0,0,1,1,http://rosettacode.org//wiki/Comma_quibbling
1,0,0,1,0,0,1,0,0,0,0,3,0,35.333333333333336,0,0,0,1,http://rosettacode.org//wiki/Command-line_arguments
1,0,0,1,0,0,1,0,0,0,0,2,0,33,0,0,0,1,http://rosettacode.org//wiki/Command-line_arguments
0,0,0,0,0,0,0,0,0,0,0,1,1,31,0,1,0,1,http://rosettacode.org//wiki/Comments
0,0,0,0,0,0,0,0,0,0,0,1,1,53,0,0,0,1,http://rosettacode.org//wiki/Comments
0,0,0,0,0,0,0,0,0,0,0,6,6,16.333333333333332,0,0,0,1,http://rosettacode.org//wiki/Comments
